Symbol,Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
ba,2016/3/24,131.64,132.23,130.02,132.12,4219192,1,0,0
bac,2016/3/24,13.41,13.7098,13.27,13.67,86111560,1,0,0
bax,2016/3/24,40.36,40.51,39.9,40.1,3775147,1,0,0
bbby,2016/3/24,49.51,49.7599,48.75,49.4,870768,1,0,0
bbt,2016/3/24,33.92,33.92,33.43,33.7,3947316,1,0,0
bby,2016/3/24,31.44,31.66,31,31.27,2524232,1,0,0
bc,2016/3/24,45.84,46.83,45.4077,46.78,605923,1,0,0
bcr,2016/3/24,198.03,198.65,196.28,198.25,287242,1,0,0
bdx,2016/3/24,148.49,149.28,147.74,149.12,552596,1,0,0
ben,2016/3/24,38.06,38.14,37.675,38.1,2638548,1,0,0
bf.b,2016/3/24,96.35,97.24,96.04,96.45,295109,1,0,0
bgg,2016/3/24,23.12,23.18,22.82,23.1,309943,1,0,0
bhi,2016/3/24,44.27,44.85,43.7575,44.71,2293547,1,0,0
big,2016/3/24,43.51,44.54,43.24,44.22,726031,1,0,0
biib,2016/3/24,253.79,257.54,251.13,254.69,979154,1,0,0
bk,2016/3/24,37.09,37.32,36.8,37.26,3256567,1,0,0
blk,2016/3/24,336.47,337,331.73,334.28,615882,1,0,0
bll,2016/3/24,70.11,70.54,69.57,70.23,593401,1,0,0
bms,2016/3/24,51.91,52.18,51.47,51.85,480122,1,0,0
bmy,2016/3/24,62.16,62.56,61.73,62.55,3985603,1,0,0
brcm,2016/1/29,54.54,54.74,54.52,54.67,7888393,1,0,0
brk.b,2016/3/24,140.52,140.6,139.56,140.14,2955158,1,0,0
bsx,2016/3/24,18.03,18.07,17.78,17.95,3793074,1,0,0
btu,2016/3/24,2.32,2.785,2.29,2.555,2513566,1,0,0
bvsn,2016/3/24,6.32,6.87,6.1201,6.868,23892,1,0,0
bwa,2016/3/24,36.17,36.92,35.81,36.91,1328634,1,0,0
bxlt,2016/3/24,39.84,40.34,39.71,40.07,8971036,1,0,0
bxp,2016/3/24,123.78,124.25,122.35,123.88,549306,1,0,0
c,2016/3/24,41.78,41.94,41.03,41.94,21135579,1,0,0
ca,2016/3/24,30.49,30.86,30.38,30.73,1424900,1,0,0
cag,2016/3/24,43.7,44.35,43.49,44.06,4441893,1,0,0
cah,2016/3/24,80.915,82.15,80.511,81.49,1539272,1,0,0
cam,2016/3/24,65.51,66.07,65.21,66.03,1612954,1,0,0
car,2016/3/24,27.26,27.33,26.429,27.05,1968050,1,0,0
cat,2016/3/24,72.93,75.35,72.73,75.29,6424456,1,0,0
cb,2016/3/24,118.81,120,118.49,119.61,1093976,1,0,0
cbg,2016/3/24,28,28.2,27.76,28.03,3424685,1,0,0
cbs,2016/3/24,53,54.175,52.735,54.07,2602795,1,0,0
cce,2016/3/24,49.64,49.95,49.42,49.59,1663549,1,0,0
cci,2016/3/24,85.63,85.72,85,85.58,1873140,1,0,0
cck,2016/3/24,49.01,49.16,48.495,48.62,618094,1,0,0
ccl,2016/3/24,48.21,49.02,47.9,48.94,4020633,1,0,0
celg,2016/3/24,99.21,101.98,98.1,100.56,3494040,1,0,0
cern,2016/3/24,52.49,52.91,51.13,51.46,2770511,1,0,0
cf,2016/3/24,32.53,32.53,31.45,31.93,3650461,1,0,0
cfg,2016/3/24,21.53,21.7,21.22,21.59,3683367,1,0,0
chd,2016/3/24,91.61,92.04,91.05,91.46,523785,1,0,0
chk,2016/3/24,3.88,4.45,3.78,4.235,29221059,1,0,0
chrw,2016/3/24,73.09,73.77,72.98,73.74,533353,1,0,0
ci,2016/3/24,137.09,138.32,136.88,137.99,388368,1,0,0
cien,2016/3/24,18.2,18.73,18.01,18.57,2116958,1,0,0
cinf,2016/3/24,64.97,65.1384,64.6401,64.74,458228,1,0,0
cl,2016/3/24,69.54,69.96,69.38,69.93,3438218,1,0,0
clf,2016/3/24,2.51,2.84,2.425,2.825,4532495,1,0,0
clx,2016/3/24,126.91,127.58,126.17,126.57,528906,1,0,0
cma,2016/3/24,38.07,38.78,37.64,38.77,2353579,1,0,0
cmcsa,2016/3/24,58.73,60.1984,58.67,60.01,8562586,1,0,0
cme,2016/3/24,96.21,96.35,94.42,95.15,1066586,1,0,0
cmg,2016/3/24,471.44,472.35,462.45,471.55,998393,1,0,0
cmi,2016/3/24,106.76,107.46,104.84,107.4,1597737,1,0,0
cms,2016/3/24,41.58,41.85,41.42,41.69,1076293,1,0,0
cnc,2016/3/24,62.7,64.65,62.64,63.7,3380304,1,0,0
cnp,2016/3/24,20.84,21.08,20.715,20.99,1691261,1,0,0
cnx,2016/3/24,10.27,11.04,9.66,10.94,6184559,1,0,0
cof,2016/3/24,69.44,69.78,68.87,69.76,1914116,1,0,0
cog,2016/3/24,21.02,22.14,20.93,21.96,5210482,1,0,0
coh,2016/3/24,38.71,38.91,38.06,38.67,1651195,1,0,0
col,2016/3/24,90.87,91.31,90.13,91.23,311224,1,0,0
cop,2016/3/24,38.93,40.1,38.53,40.04,7951980,1,0,0
cost,2016/3/24,153.24,154.1,150.85,151.43,2311554,1,0,0
cpb,2016/3/24,62.81,63.62,62.81,63.18,1343578,1,0,0
cpgx,2016/3/24,25,25.145,25,25.04,12413499,1,0,0
cr,2016/3/24,52.55,53.42,52.19,53.38,182617,1,0,0
crm,2016/3/24,71.54,72.45,71.05,72.45,2428416,1,0,0
csc,2016/3/24,31.48,31.87,31.3901,31.86,508003,1,0,0
csco,2016/3/24,27.77,28.005,27.59,27.955,14064966,1,0,0
csra,2016/3/24,24.03,24.735,23.89,24.37,957330,1,0,0
csx,2016/3/24,25.77,26.18,25.505,26.17,4050118,1,0,0
ctas,2016/3/24,86.24,87.96,85.94,87.52,1085365,1,0,0
ctb,2016/3/24,36.5,36.57,35.77,36,474448,1,0,0
ctl,2016/3/24,30.87,31.1649,30.68,31.16,4468504,1,0,0
ctsh,2016/3/24,58.82,60.64,58.78,60.31,4615365,1,0,0
ctxs,2016/3/24,76.51,76.8299,75.54,76.68,914927,1,0,0
cvc,2016/3/24,32.95,33.05,32.88,32.95,2370956,1,0,0
cvg,2016/3/24,26.37,26.75,26.32,26.6,255758,1,0,0
cvs,2016/3/24,100.69,101.47,100,101.42,2642181,1,0,0
cvx,2016/3/24,92.73,94.94,92.25,94.85,6835485,1,0,0
cxo,2016/3/24,99.11,104.08,97.75,103.61,1354487,1,0,0
d,2016/3/24,73.51,73.6199,73.02,73.42,1391710,1,0,0
dal,2016/3/24,48.48,48.56,47.36,47.84,7994014,1,0,0
dd,2016/3/24,63.28,63.98,63.13,63.97,2699447,1,0,0
ddr,2016/3/24,16.67,16.71,16.45,16.65,2198882,1,0,0
dds,2016/3/24,82.76,83.3,80.94,81.69,340191,1,0,0
de,2016/3/24,80.5,80.58,80,80.24,2740693,1,0,0
df,2016/3/24,17.22,17.41,17.01,17.13,2077874,1,0,0
dfs,2016/3/24,49.47,49.7,49.08,49.67,1705307,1,0,0
dg,2016/3/24,84.2,84.53,83.66,83.96,2517945,1,0,0.25
dgx,2016/3/24,69.44,69.94,68.94,69.79,675663,1,0,0
dhi,2016/3/24,29.5,29.5,29.08,29.41,2964887,1,0,0
dhr,2016/3/24,94.42,94.84,94.12,94.79,2524390,1,0,0
dis,2016/3/24,96.37,97.49,96.3,97.22,4622171,1,0,0
disca,2016/3/24,27.58,28.1,27.32,27.99,1989029,1,0,0
dlph,2016/3/24,71.85,72.6,70.95,72.38,2211423,1,0,0
dltr,2016/3/24,78.85,79.26,78.21,78.52,1214950,1,0,0
dlx,2016/3/24,58.98,59.88,58.59,59.87,249374,1,0,0
dnb,2016/3/24,100.56,101.55,100.1,101.51,123210,1,0,0
dnr,2016/3/24,2.07,2.29,2,2.27,12693577,1,0,0
do,2016/3/24,21.31,22.46,21.26,21.97,3814030,1,0,0
dov,2016/3/24,64.37,64.62,63.64,64.61,801143,1,0,0
dow,2016/3/24,50.83,51.33,50.51,51.31,4107167,1,0,0
dps,2016/3/24,89.54,90.1099,88,88.23,1343790,1,0,0
dri,2016/3/24,66.47,66.475,65.29,65.76,1125676,1,0,0
dte,2016/3/24,88.99,89.62,88.72,89.46,615001,1,0,0
